condition,metric,M,point_sd_pp,evaluation_error_sd_pp,development_policy_sd_pp,evaluation_error_mean_pp,development_variance_fraction,evaluation_variance_fraction,covariance_uv_pp2,correlation_uv,covariance_T_d_pp2,covariance_evaluation_d_pp2,covariance_development_d_pp2,correlation_evaluation_d,correlation_development_d,percentile_midpoint_sd_pp,basic_midpoint_sd_pp,variance_identity_error_pp2,covariance_identity_error_pp2
H050_C,FSR,1000,2.93030525001719,1.273990126310966,2.6546661451091573,0.006369820448106427,0.8207182603565,0.189019407681585,-0.04180716282411797,-0.012361601022947002,-4.193583844039742,-0.7315614425157361,-3.462022401524006,-0.29159239577906876,-0.6622339036843636,2.0193078506560567,4.56639240231062,-2.914335439641036e-16,0.0
H050_C,recall,1000,3.159931062362867,1.578859619214863,2.6546661451091573,-0.0008826276282717771,0.7057722954703607,0.2496501427094675,0.22255713985485157,0.053099215251805956,-4.751554215173541,-1.2806393929801285,-3.470914822193411,-0.3942952368649721,-0.6355829466458592,2.1711382052698776,4.870324215807061,-1.27675647831893e-15,-1.3322676295501878e-15
H050_Q125,FSR,1000,2.936812427094093,1.1957616205600872,2.6529869833357447,0.03727931887947063,0.8160519744221508,0.16578178130213542,0.07834072249045793,0.024694932488928616,-4.765579874465314,-0.6756403009685157,-4.089939573496799,-0.2632438667575589,-0.7182391883859034,1.9237419795724495,4.771069345736927,1.887379141862766e-15,0.0
H050_Q125,recall,1000,3.131881347176377,1.4801932289966515,2.6529869833357447,0.014340977419117464,0.717562340623096,0.2233707106918146,0.2896844219374433,0.07376861145607012,-5.238417192811681,-1.174719971820922,-4.063697220990759,-0.3593390781824415,-0.6935451403643553,2.051739517090174,5.016303800333085,2.1094237467877974e-15,0.0
H050_Q500,FSR,1000,3.5883482687596637,1.1048633534153067,3.473323414175602,0.015298038291647699,0.9369173337551157,0.0948042842525516,-0.2042276356350517,-0.05321826559037406,-9.947531336227087,-0.3687745583221895,-9.578756777904898,-0.10352967848277729,-0.8554141000559053,1.8371164556380677,6.570016911430633,1.887379141862766e-15,1.7763568394002505e-15
H050_Q500,recall,1000,3.7378953434071307,1.2747101608540192,3.473323414175602,0.04823523322805467,0.8634479703806106,0.11629702905060901,0.14150003230988598,0.031959491991091195,-10.372243136440085,-0.8863519453294962,-9.485891191110593,-0.21428764804251346,-0.8416573073250911,1.9381877811749926,6.726480834794402,1.6653345369377348e-16,3.552713678800501e-15
H065_C,FSR,1000,4.581455858192069,1.539073295566246,4.391276666702645,-0.040092768122890386,0.9187018420680045,0.11285260606346052,-0.3311597960449048,-0.048999032349570114,-10.351817621320082,-0.8994486636854594,-9.452368957634624,-0.1975408517704651,-0.7275950052838768,3.006387297502788,7.102509068481817,-2.3314683517128287e-15,1.7763568394002505e-15
H065_C,recall,1000,3.159931062362867,1.5788596192148632,2.6546661451091578,-0.0008826276282708676,0.7057722954703609,0.2496501427094676,0.22255713985485004,0.05309921525180557,-4.751554215173541,-1.2806393929801283,-3.4709148221934116,-0.39429523686497203,-0.6355829466458591,2.1711382052698776,4.870324215807061,-8.881784197001252e-16,-8.881784197001252e-16
H065_Q125,FSR,1000,4.670536972143132,1.5270481995130232,4.523693741310471,0.003849617708793506,0.9381078313844943,0.10689856170361771,-0.49088283032578534,-0.07106109602695729,-11.976667342487577,-0.8420178370805451,-11.134649505407031,-0.1694383816499186,-0.7563566058728256,2.9070618686173537,7.507175106384514,5.88418203051333e-15,0.0
H065_Q125,recall,1000,3.1730525142533477,1.533464234785132,2.6598718117126836,0.008130636366352768,0.7026950503772331,0.233556943498146,0.32091582205031455,0.0786786267606664,-5.408821235015251,-1.3256384170101736,-4.083182818005077,-0.3868751002553035,-0.6870011546389351,2.0600040673438427,5.087130988831935,-1.3322676295501878e-15,-8.881784197001252e-16
H065_Q500,FSR,1000,6.877516634857332,1.423525998245125,6.716995237851373,0.013553616026705372,0.953864710513028,0.04284178006709513,0.07789188487075684,0.008146138125219976,-36.48214223568362,-0.9700200671219643,-35.51212216856165,-0.11598519311867012,-0.8998887449553913,2.975290508506325,12.441098124873957,4.413136522884997e-15,0.0
H065_Q500,recall,1000,4.013912414591731,1.3284323643212494,3.7013783901620294,0.05618961018179403,0.8503372155510379,0.10953252815209719,0.32327916913950994,0.06574682552511249,-12.006082269955426,-1.0492942702502521,-10.956787999705174,-0.23124913973548672,-0.8666466162698934,1.940677150857108,7.19656563116606,-2.220446049250313e-16,0.0
S_H_C,FSR,1000,5.330241949126575,1.7782047573975779,5.043868304231149,0.026412949991554028,0.895434104606114,0.11129347166124899,-0.0955701967151613,-0.010655577043420829,-14.414911515882638,-1.535236194090523,-12.879675321792114,-0.22410893941364507,-0.6628372764748539,3.7977412604775016,8.490140443188427,-4.690692279041286e-15,-1.7763568394002505e-15
S_H_C,recall,1000,3.159931062362867,1.5788596192148636,2.6546661451091573,-0.000882627628271635,0.7057722954703608,0.24965014270946767,0.22255713985484998,0.05309921525180554,-4.751554215173541,-1.2806393929801285,-3.470914822193411,-0.3942952368649719,-0.6355829466458591,2.1711382052698776,4.870324215807061,-7.771561172376096e-16,-1.3322676295501878e-15
S_N_C,FSR,1000,3.0709254025236836,1.0659686062087217,2.8737878389902334,0.02054060518905052,0.8757312982953382,0.12048980324578525,0.017818607457264327,0.005816672918007639,-8.266520046277776,-1.0012465004053104,-7.265273545872464,-0.3115402536862015,-0.8385227318279159,1.4098095871923615,5.920611729986235,-2.1163626406917047e-15,-1.7763568394002505e-15
S_N_C,recall,1000,1.7162525577247592,0.9483893575000186,1.4732023817052742,0.062450296166171114,0.7368217372452984,0.305359157507025,-0.062122394492306464,-0.04446303491421792,-2.3911482545985345,-0.6373021678958976,-1.7538460867026364,-0.4226864459945048,-0.7488393603000572,0.8310631990510736,3.2023833404530353,1.5265566588595902e-16,-4.440892098500626e-16
